panel,controller,wave,band,freq_Hz,t_ms,setpoint_nm,displacement_nm
a,PID,Sine,normal bandwidth,2,0,1000,0
a,PID,Sine,normal bandwidth,2,1.1,1000,0
a,PID,Sine,normal bandwidth,2,2.2,1000,0
a,PID,Sine,normal bandwidth,2,3.3,1000,0
a,PID,Sine,normal bandwidth,2,4.4,1000,0
a,PID,Sine,normal bandwidth,2,5.5,1000,0
a,PID,Sine,normal bandwidth,2,6.6,1000,0
a,PID,Sine,normal bandwidth,2,7.7,1000,0
a,PID,Sine,normal bandwidth,2,8.8,1000,0
a,PID,Sine,normal bandwidth,2,9.9,1000,0
a,PID,Sine,normal bandwidth,2,11,1000,0
a,PID,Sine,normal bandwidth,2,12.1,1000,0
a,PID,Sine,normal bandwidth,2,13.2,1000,0
a,PID,Sine,normal bandwidth,2,14.3,1000,0
a,PID,Sine,normal bandwidth,2,15.4,1000,0
a,PID,Sine,normal bandwidth,2,16.5,1000,0
a,PID,Sine,normal bandwidth,2,17.6,1000,0
a,PID,Sine,normal bandwidth,2,18.7,1000,0
a,PID,Sine,normal bandwidth,2,19.8,1000,0
a,PID,Sine,normal bandwidth,2,20.9,1000,0
a,PID,Sine,normal bandwidth,2,22,1000,0
a,PID,Sine,normal bandwidth,2,23.1,1000,0
a,PID,Sine,normal bandwidth,2,24.2,1000,0
a,PID,Sine,normal bandwidth,2,25.3,1000,0
a,PID,Sine,normal bandwidth,2,26.4,1000,0
a,PID,Sine,normal bandwidth,2,27.5,1000,0
a,PID,Sine,normal bandwidth,2,28.6,1000,0
a,PID,Sine,normal bandwidth,2,29.7,1000,0
a,PID,Sine,normal bandwidth,2,30.8,1000,0
a,PID,Sine,normal bandwidth,2,31.9,1000,0
a,PID,Sine,normal bandwidth,2,33,1000,0
a,PID,Sine,normal bandwidth,2,34.1,1000,0
a,PID,Sine,normal bandwidth,2,35.2,1000,0
a,PID,Sine,normal bandwidth,2,36.3,1000,0
a,PID,Sine,normal bandwidth,2,37.4,1000,0
a,PID,Sine,normal bandwidth,2,38.5,1000,0
a,PID,Sine,normal bandwidth,2,39.6,1000,0
a,PID,Sine,normal bandwidth,2,40.7,1000,0
a,PID,Sine,normal bandwidth,2,41.8,1000,0
a,PID,Sine,normal bandwidth,2,42.9,1000,0
a,PID,Sine,normal bandwidth,2,44,1000,0
a,PID,Sine,normal bandwidth,2,45.1,1000,0
a,PID,Sine,normal bandwidth,2,46.2,1000,0
a,PID,Sine,normal bandwidth,2,47.3,1000,0
a,PID,Sine,normal bandwidth,2,48.4,1000,0
a,PID,Sine,normal bandwidth,2,49.5,1000,0
a,PID,Sine,normal bandwidth,2,50.6,1000,984.627450980347
a,PID,Sine,normal bandwidth,2,51.7,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,52.8,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,53.9,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,55,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,56.1,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,57.2,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,58.3,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,59.4,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,60.5,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,61.6,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,62.7,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,63.8,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,64.9,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,66,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,67.1,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,68.2,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,69.3,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,70.4,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,71.5,1000,984.627450980391
a,PID,Sine,normal bandwidth,2,72.6,1000,984.627450980391
